Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.0178587560401502
US National,Season onset,Bin,week,41,42,0.0118838531425405
US National,Season onset,Bin,week,42,43,0.00424396934193446
US National,Season onset,Bin,week,43,44,0.00445328122688257
US National,Season onset,Bin,week,44,45,0.0132538945712917
US National,Season onset,Bin,week,45,46,0.0263739440869028
US National,Season onset,Bin,week,46,47,0.0438134297737158
US National,Season onset,Bin,week,47,48,0.0661432022270437
US National,Season onset,Bin,week,48,49,0.080890175939297
US National,Season onset,Bin,week,49,50,0.106778250436743
US National,Season onset,Bin,week,50,51,0.146604593636415
US National,Season onset,Bin,week,51,52,0.142941635649823
US National,Season onset,Bin,week,52,53,0.0859326895312287
US National,Season onset,Bin,week,1,2,0.0378004701697519
US National,Season onset,Bin,week,2,3,0.0296277924801871
US National,Season onset,Bin,week,3,4,0.0391895399516803
US National,Season onset,Bin,week,4,5,0.0354314401992029
US National,Season onset,Bin,week,5,6,0.0251371011303913
US National,Season onset,Bin,week,6,7,0.0125783880335047
US National,Season onset,Bin,week,7,8,0.00359700533391303
US National,Season onset,Bin,week,8,9,0.000647610591462389
US National,Season onset,Bin,week,9,10,2.91891132066093e-05
US National,Season onset,Bin,week,10,11,1.96749366180588e-05
US National,Season onset,Bin,week,11,12,1.01607600295083e-05
US National,Season onset,Bin,week,12,13,1.01607600295083e-05
US National,Season onset,Bin,week,13,14,1.01607600295083e-05
US National,Season onset,Bin,week,14,15,1.01607600295083e-05
US National,Season onset,Bin,week,15,16,1.01607600295083e-05
US National,Season onset,Bin,week,16,17,1.01607600295083e-05
US National,Season onset,Bin,week,17,18,1.01607600295083e-05
US National,Season onset,Bin,week,18,19,1.01607600295083e-05
US National,Season onset,Bin,week,19,20,1.01607600295083e-05
US National,Season onset,Bin,week,20,21,1.01607600295083e-05
US National,Season onset,Bin,week,none,none,0.0646685048558184
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0.00572073160905648
US National,Season peak week,Bin,week,41,42,0.00769478688260414
US National,Season peak week,Bin,week,42,43,0.0083695914914189
US National,Season peak week,Bin,week,43,44,0.00776528885665941
US National,Season peak week,Bin,week,44,45,0.00616388687454677
US National,Season peak week,Bin,week,45,46,0.00459270002417211
US National,Season peak week,Bin,week,46,47,0.00430062041737169
US National,Season peak week,Bin,week,47,48,0.00705019740552735
US National,Season peak week,Bin,week,48,49,0.0124687776972041
US National,Season peak week,Bin,week,49,50,0.0247663363145597
US National,Season peak week,Bin,week,50,51,0.0376581258560954
US National,Season peak week,Bin,week,51,52,0.0488780114414632
US National,Season peak week,Bin,week,52,53,0.0564922246394328
US National,Season peak week,Bin,week,1,2,0.0609842075578116
US National,Season peak week,Bin,week,2,3,0.0594331641285956
US National,Season peak week,Bin,week,3,4,0.06294819112078
US National,Season peak week,Bin,week,4,5,0.0708343405043913
US National,Season peak week,Bin,week,5,6,0.0810974135847232
US National,Season peak week,Bin,week,6,7,0.0900914511320603
US National,Season peak week,Bin,week,7,8,0.0857203287406333
US National,Season peak week,Bin,week,8,9,0.0758097655305777
US National,Season peak week,Bin,week,9,10,0.0611252115059222
US National,Season peak week,Bin,week,10,11,0.0444263153654017
US National,Season peak week,Bin,week,11,12,0.0312122310853275
US National,Season peak week,Bin,week,12,13,0.0197002658931593
US National,Season peak week,Bin,week,13,14,0.0121263395375071
US National,Season peak week,Bin,week,14,15,0.00695955201031343
US National,Season peak week,Bin,week,15,16,0.00329344935943921
US National,Season peak week,Bin,week,16,17,0.00145032632342277
US National,Season peak week,Bin,week,17,18,0.000533800660704214
US National,Season peak week,Bin,week,18,19,0.000241721053903795
US National,Season peak week,Bin,week,19,20,7.05019740552736e-05
US National,Season peak week,Bin,week,20,21,2.01434211586496e-05
US National,Season peak percentage,Point,percent,NA,NA,4.9
US National,Season peak percentage,Bin,percent,0,0.1,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.1,0.2,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.2,0.3,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.3,0.4,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.4,0.5,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.5,0.6,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.6,0.7,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.7,0.8,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.8,0.9,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.9,1,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1,1.1,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1.1,1.2,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1.2,1.3,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1.3,1.4,1.9973834277097e-05
US National,Season peak percentage,Bin,percent,1.4,1.5,0.000109856088524034
US National,Season peak percentage,Bin,percent,1.5,1.6,0.00019973834277097
US National,Season peak percentage,Bin,percent,1.6,1.7,0.000429437436957586
US National,Season peak percentage,Bin,percent,1.7,1.8,0.000928783293885011
US National,Season peak percentage,Bin,percent,1.8,1.9,0.00155795907361357
US National,Season peak percentage,Bin,percent,1.9,2,0.0023069778590047
US National,Season peak percentage,Bin,percent,2,2.1,0.00367518550698585
US National,Season peak percentage,Bin,percent,2.1,2.2,0.00458399496659376
US National,Season peak percentage,Bin,percent,2.2,2.3,0.0053330137519849
US National,Season peak percentage,Bin,percent,2.3,2.4,0.00709071116836944
US National,Season peak percentage,Bin,percent,2.4,2.5,0.00775983461665219
US National,Season peak percentage,Bin,percent,2.5,2.6,0.00903816001038639
US National,Season peak percentage,Bin,percent,2.6,2.7,0.010506236829753
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0122938949975532
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0146308336079736
US National,Season peak percentage,Bin,percent,2.9,3,0.0162786749358341
US National,Season peak percentage,Bin,percent,3,3.1,0.0174571311581828
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0202035333712836
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0207727876481809
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0223307467217944
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0238387712097153
US National,Season peak percentage,Bin,percent,3.5,3.6,0.0231396870100169
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0232195823471253
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0230498047557699
US National,Season peak percentage,Bin,percent,3.8,3.9,0.022450589727457
US National,Season peak percentage,Bin,percent,3.9,4,0.0223207598046559
US National,Season peak percentage,Bin,percent,4,4.1,0.0222608383018246
US National,Season peak percentage,Bin,percent,4.1,4.2,0.0197241613486333
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0201336249513138
US National,Season peak percentage,Bin,percent,4.3,4.4,0.0196043183429707
US National,Season peak percentage,Bin,percent,4.4,4.5,0.0197840828514646
US National,Season peak percentage,Bin,percent,4.5,4.6,0.0191049724860433
US National,Season peak percentage,Bin,percent,4.6,4.7,0.0184458359548991
US National,Season peak percentage,Bin,percent,4.7,4.8,0.0181262546064655
US National,Season peak percentage,Bin,percent,4.8,4.9,0.0179464900979717
US National,Season peak percentage,Bin,percent,4.9,5,0.0181362415236041
US National,Season peak percentage,Bin,percent,5,5.1,0.0176368956666767
US National,Season peak percentage,Bin,percent,5.1,5.2,0.0179764508493873
US National,Season peak percentage,Bin,percent,5.2,5.3,0.0178266470923091
US National,Season peak percentage,Bin,percent,5.3,5.4,0.0173173143182431
US National,Season peak percentage,Bin,percent,5.4,5.5,0.0170077198869481
US National,Season peak percentage,Bin,percent,5.5,5.6,0.0170876152240565
US National,Season peak percentage,Bin,percent,5.6,5.7,0.0165483216985749
US National,Season peak percentage,Bin,percent,5.7,5.8,0.0167680338756229
US National,Season peak percentage,Bin,percent,5.8,5.9,0.0162786749358341
US National,Season peak percentage,Bin,percent,5.9,6,0.015949106670262
US National,Season peak percentage,Bin,percent,6,6.1,0.0163086356872497
US National,Season peak percentage,Bin,percent,6.1,6.2,0.0150802448792082
US National,Season peak percentage,Bin,percent,6.2,6.3,0.015439773896196
US National,Season peak percentage,Bin,percent,6.3,6.4,0.0148006111993289
US National,Season peak percentage,Bin,percent,6.4,6.5,0.0148405588678831
US National,Season peak percentage,Bin,percent,6.5,6.6,0.0135622334741489
US National,Season peak percentage,Bin,percent,6.6,6.7,0.0136621026455344
