Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,2.65573921805634e-05
US National,Season onset,Bin,week,41,42,2.65573944804334e-05
US National,Season onset,Bin,week,42,43,2.65573930728917e-05
US National,Season onset,Bin,week,43,44,2.65573967909266e-05
US National,Season onset,Bin,week,44,45,2.65575218762416e-05
US National,Season onset,Bin,week,45,46,2.65608176485572e-05
US National,Season onset,Bin,week,46,47,2.66269721113941e-05
US National,Season onset,Bin,week,47,48,3.69944467008157e-05
US National,Season onset,Bin,week,48,49,4.33151059361309e-05
US National,Season onset,Bin,week,49,50,0.0248577186733407
US National,Season onset,Bin,week,50,51,0.931722891039375
US National,Season onset,Bin,week,51,52,0.0371537910512859
US National,Season onset,Bin,week,52,53,2.65573917450221e-05
US National,Season onset,Bin,week,1,2,2.65573917450221e-05
US National,Season onset,Bin,week,2,3,2.65573917450221e-05
US National,Season onset,Bin,week,3,4,0.000982623494565818
US National,Season onset,Bin,week,4,5,0.00103839401723036
US National,Season onset,Bin,week,5,6,0.000966689059518805
US National,Season onset,Bin,week,6,7,0.000706426620417588
US National,Season onset,Bin,week,7,8,0.00052849209572594
US National,Season onset,Bin,week,8,9,0.000430229746269358
US National,Season onset,Bin,week,9,10,0.000464754355537887
US National,Season onset,Bin,week,10,11,0.000331967396812776
US National,Season onset,Bin,week,11,12,0.000159344350470132
US National,Season onset,Bin,week,12,13,6.37377401880531e-05
US National,Season onset,Bin,week,13,14,3.18688700940265e-05
US National,Season onset,Bin,week,14,15,2.92131309195244e-05
US National,Season onset,Bin,week,15,16,2.65573917450221e-05
US National,Season onset,Bin,week,16,17,2.65573917450221e-05
US National,Season onset,Bin,week,17,18,2.65573917450221e-05
US National,Season onset,Bin,week,18,19,2.65573917450221e-05
US National,Season onset,Bin,week,19,20,2.65573917450221e-05
US National,Season onset,Bin,week,20,21,2.65573917450221e-05
US National,Season onset,Bin,week,none,none,2.65573917450221e-05
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,1.68431274614926e-05
US National,Season peak week,Bin,week,41,42,1.68431313579349e-05
US National,Season peak week,Bin,week,42,43,1.68431335061636e-05
