Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,2.95793737132905e-05
US National,Season onset,Bin,week,41,42,2.95793762955698e-05
US National,Season onset,Bin,week,42,43,2.95793746095455e-05
US National,Season onset,Bin,week,43,44,2.95793830100875e-05
US National,Season onset,Bin,week,44,45,2.95795418513219e-05
US National,Season onset,Bin,week,45,46,2.95835735198956e-05
US National,Season onset,Bin,week,46,47,2.96553922381439e-05
US National,Season onset,Bin,week,47,48,3.07743799281497e-05
US National,Season onset,Bin,week,48,49,3.12535657747817e-05
US National,Season onset,Bin,week,49,50,0.0265326978042582
US National,Season onset,Bin,week,50,51,0.933029349362802
US National,Season onset,Bin,week,51,52,0.0395180426605228
US National,Season onset,Bin,week,52,53,2.95793732488943e-05
US National,Season onset,Bin,week,1,2,2.95793732488943e-05
US National,Season onset,Bin,week,2,3,2.95793732488943e-05
US National,Season onset,Bin,week,3,4,2.95793732488943e-05
US National,Season onset,Bin,week,4,5,2.95793732488943e-05
US National,Season onset,Bin,week,5,6,2.95793732488943e-05
US National,Season onset,Bin,week,6,7,2.95793732488943e-05
US National,Season onset,Bin,week,7,8,2.95793732488943e-05
US National,Season onset,Bin,week,8,9,2.95793732488943e-05
US National,Season onset,Bin,week,9,10,2.95793732488943e-05
US National,Season onset,Bin,week,10,11,2.95793732488943e-05
US National,Season onset,Bin,week,11,12,2.95793732488943e-05
US National,Season onset,Bin,week,12,13,2.95793732488943e-05
US National,Season onset,Bin,week,13,14,2.95793732488943e-05
US National,Season onset,Bin,week,14,15,2.95793732488943e-05
US National,Season onset,Bin,week,15,16,2.95793732488943e-05
US National,Season onset,Bin,week,16,17,2.95793732488943e-05
US National,Season onset,Bin,week,17,18,2.95793732488943e-05
US National,Season onset,Bin,week,18,19,2.95793732488943e-05
US National,Season onset,Bin,week,19,20,2.95793732488943e-05
US National,Season onset,Bin,week,20,21,2.95793732488943e-05
US National,Season onset,Bin,week,none,none,2.95793732488943e-05
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,9.6786998674439e-05
US National,Season peak week,Bin,week,41,42,9.6786998674442e-05
US National,Season peak week,Bin,week,42,43,9.67869986744424e-05
US National,Season peak week,Bin,week,43,44,9.67869986744513e-05
US National,Season peak week,Bin,week,44,45,9.67869986744586e-05
US National,Season peak week,Bin,week,45,46,9.67869986745021e-05
US National,Season peak week,Bin,week,46,47,9.67869986746198e-05
US National,Season peak week,Bin,week,47,48,9.67869986755798e-05
US National,Season peak week,Bin,week,48,49,9.6786998675644e-05
US National,Season peak week,Bin,week,49,50,9.67869986858636e-05
US National,Season peak week,Bin,week,50,51,9.67869987798876e-05
US National,Season peak week,Bin,week,51,52,9.67870313661789e-05
US National,Season peak week,Bin,week,52,53,9.67964266822606e-05
US National,Season peak week,Bin,week,1,2,9.67876967793408e-05
US National,Season peak week,Bin,week,2,3,9.67876680463646e-05
US National,Season peak week,Bin,week,3,4,9.68133954335551e-05
US National,Season peak week,Bin,week,4,5,9.72176347791431e-05
US National,Season peak week,Bin,week,5,6,0.000392134460869456
US National,Season peak week,Bin,week,6,7,0.938351173676163
US National,Season peak week,Bin,week,7,8,0.029945897389871
US National,Season peak week,Bin,week,8,9,0.00190058693557019
US National,Season peak week,Bin,week,9,10,9.68476904355589e-05
US National,Season peak week,Bin,week,10,11,9.68346999044968e-05
US National,Season peak week,Bin,week,11,12,9.67890472292233e-05
US National,Season peak week,Bin,week,12,13,9.6787623882716e-05
US National,Season peak week,Bin,week,13,14,9.67870633768427e-05
US National,Season peak week,Bin,week,14,15,9.67869995353196e-05
US National,Season peak week,Bin,week,15,16,0.00425862794167523
US National,Season peak week,Bin,week,16,17,0.00297339944289047
US National,Season peak week,Bin,week,17,18,0.00441452808881091
US National,Season peak week,Bin,week,18,19,0.00795868535842677
